Metric,Classical NLP,LSTM
Accuracy,0.81885625,0.7809962914703819
Precision,0.8190054298986161,0.7810424311006712
Recall,0.81885625,0.7809962914703819
F1 Score,0.8188350699797243,0.7809891980066026
